ID	Public Gene IDs	Gene Symbol	Description	Chromosome	Strand	Group	Start	Stop
TC0800012438.hg.1	NR_125822; ENST00000504145; ENST00000519655; ENST00000519854; ENST00000520306; ENST00000521996; ENST00000523859; ENST00000523995; ENST00000524166; ENST00000524190; ENST00000621883; ENST00000504145.1; ENST00000519655.2; ENST00000519854.1; ENST00000520306.1; ENST00000521996.1; ENST00000523859.1; ENST00000523995.1; ENST00000524166.1; ENST00000524190.1; OTTHUMT00000375476; OTTHUMT00000375477; OTTHUMT00000375478; OTTHUMT00000375479; OTTHUMT00000375480; OTTHUMT00000375481; OTTHUMT00000375482; OTTHUMT00000375483; OTTHUMT00000375485; OTTHUMT00000375685; smarzeeby.bAug10; uc064ohe.1; uc064ohf.1; uc064ohg.1; uc064ohh.1; uc064ohi.1; uc064ohj.1; uc064ohk.1; uc064ohl.1; uc064ohm.1; uc064ohn.1	LOC101929709; RP11-37B2.1; smarzeeby	uncharacterized LOC101929709; novel transcript; Transcript Identified by AceView	chr8	-	Multiple_Complex	89608544	89757727
TC0800012456.hg.1	ENST00000607837.1	RP11-383J24.6		chr8	-	NonCoding	124306189	124308376
TC0900006474.hg.1				chr9	+	NonCoding	2042994	2046019
TC0900006534.hg.1	wyplabu.aAug10-unspliced	wyplabu	Transcript Identified by AceView	chr9	+	Coding	4857051	4857869
TC0900006734.hg.1	ENST00000488178; uc064sgq.1	RN7SL720P	RNA, 7SL, cytoplasmic 720, pseudogene [Source:HGNC Symbol;Acc:HGNC:46736]	chr9	+	NonCoding	17053901	17054204
TC0900006759.hg.1				chr9	+	NonCoding	19231309	19234862
TC0900007217.hg.1	farskobu.aAug10	farskobu	Transcript Identified by AceView	chr9	+	Unassigned	39739202	39740960
TC0900007369.hg.1	NR_126047; ENST00000305709.5; ENST00000467494.2; ENST00000476224.1; OTTHUMT00000037077; OTTHUMT00000037078; OTTHUMT00000037079; uc033ctr.2; uc064tkj.1; uc064tkk.1	LOC728673; GLIDR; RP11-262H14.4	uncharacterized LOC728673; glioblastoma down-regulated RNA [Source:HGNC Symbol;Acc:HGNC:48823]; novel transcript	chr9	+	NonCoding	62897376	62900104
TC0900007377.hg.1	blyshey.aAug10-unspliced	blyshey	Transcript Identified by AceView	chr9	+	Coding	63119407	63119793
TC0900007474.hg.1	ENST00000425587.1; OTTHUMT00000052545; uc064tne.1	RP11-561O23.8	putative novel transcript	chr9	+	NonCoding	68228651	68229312
TC0900007500.hg.1	fleyshee.aAug10-unspliced	fleyshee	Transcript Identified by AceView	chr9	+	Unassigned	69241905	69243089
TC0900007522.hg.1				chr9	+	NonCoding	70320137	70322843
TC0900007845.hg.1	plawtawbo.aAug10-unspliced	plawtawbo	Transcript Identified by AceView	chr9	+	Unassigned	88406550	88407153
TC0900007995.hg.1	NR_049853_2	MIR548AU	Homo sapiens microRNA 548au (MIR548AU), microRNA.	chr9	+	Multiple_Complex	93594841	93594894
TC0900008052.hg.1	slawtoby.aAug10-unspliced	slawtoby	Transcript Identified by AceView	chr9	+	Unassigned	95013478	95015455
TC0900008053.hg.1	gawlar.aAug10-unspliced	gawlar	Transcript Identified by AceView	chr9	+	Coding	95023048	95025881
TC0900008055.hg.1	chershee.aAug10-unspliced	chershee	Transcript Identified by AceView	chr9	+	Unassigned	95039626	95041373
TC0900008056.hg.1	rimemu.aAug10-unspliced	rimemu	Transcript Identified by AceView	chr9	+	Coding	95061717	95063927
TC0900008443.hg.1	swoshey.aAug10-unspliced	swoshey	Transcript Identified by AceView	chr9	+	Unassigned	111927794	111929038
TC0900008766.hg.1	lawgar.aAug10-unspliced	lawgar	Transcript Identified by AceView	chr9	+	Coding	125806392	125807330
TC0900008898.hg.1	wusher.aAug10-unspliced	wusher	Transcript Identified by AceView	chr9	+	Coding	129049004	129049359
TC0900009001.hg.1	NR_002914; NR_003050; ENST00000428514; uc004caq.3	SNORD62A; SNORD62B	small nucleolar RNA, C/D box 62A; small nucleolar RNA, C/D box 62B	chr9	+	Small_RNA	131485665	131485750
TC0900009002.hg.1	ENST00000426867; uc004car.3	SNORD62B; SNORD62A	small nucleolar RNA, C/D box 62B; small nucleolar RNA, C/D box 62A	chr9	+	Small_RNA	131490486	131490571
TC0900009336.hg.1	uc064xoe.1	RNU6-785P	RNA, U6 small nuclear 785, pseudogene [Source:HGNC Symbol;Acc:HGNC:47748]	chr9	+	Small_RNA	138259595	138259698
TC0900009418.hg.1	flupawbu.aAug10-unspliced	flupawbu	Transcript Identified by AceView	chr9	-	Unassigned	3522611	3523100
TC0900009608.hg.1	BC020879	MGC24103	uncharacterized MGC24103	chr9	-	Coding	16525995	16527733
TC0900009611.hg.1	skorspey.aAug10-unspliced	skorspey	Transcript Identified by AceView	chr9	-	Coding	16785578	16787435
TC0900009734.hg.1				chr9	-	NonCoding	22953019	22953103
TC0900010221.hg.1	zarskubu.aAug10-unspliced	zarskubu	Transcript Identified by AceView	chr9	-	Coding	63331375	63332398
TC0900010223.hg.1	zorskubu.aAug10-unspliced	zorskubu	Transcript Identified by AceView	chr9	-	Coding	63340646	63341032
TC0900010251.hg.1	gluvubu.aAug10-unspliced	gluvubu	Transcript Identified by AceView	chr9	-	Coding	64645154	64645540
TC0900010542.hg.1				chr9	-	NonCoding	81574668	81575219
TC0900010982.hg.1	somire.aAug10-unspliced	somire	Transcript Identified by AceView	chr9	-	Unassigned	98787366	98789048
TC0900011076.hg.1	plylo.aAug10-unspliced	plylo	Transcript Identified by AceView	chr9	-	Coding	104887742	104888542
TC0900011187.hg.1				chr9	-	NonCoding	110691327	110784847
TC0900011222.hg.1				chr9	-	NonCoding	112205662	112213174
TC0900011338.hg.1	uc064vhk.1	AL137024.1		chr9	-	Precursor_microRNA	116393589	116393676
TC0X00006575.hg.1				chrX	+	NonCoding	9195825	9199740
TC0X00006987.hg.1				chrX	+	NonCoding	39786876	39787116
TC0X00007082.hg.1				chrX	+	NonCoding	45018379	45018549
TC0X00007109.hg.1	sneyfer.aAug10-unspliced	sneyfer	Transcript Identified by AceView	chrX	+	Unassigned	46463656	46464557
TC0X00007130.hg.1	sperfor.aAug10-unspliced	sperfor	Transcript Identified by AceView	chrX	+	Coding	47194519	47195112
TC0X00007364.hg.1	NR_002953; ENST00000408789	SNORA11	small nucleolar RNA, H/ACA box 11	chrX	+	Small_RNA	54814370	54814500
TC0X00007399.hg.1				chrX	+	NonCoding	56734151	56734568
TC0X00007564.hg.1	kawgee.aAug10-unspliced	kawgee	Transcript Identified by AceView	chrX	+	Coding	71335930	71336457
TC0X00007909.hg.1				chrX	+	NonCoding	98518682	98524523
TC0X00008565.hg.1				chrX	+	Pseudogene	138483707	138484510
TC0X00008815.hg.1	serera.aAug10-unspliced	serera	Transcript Identified by AceView	chrX	+	Unassigned	154010507	154012133
TC0X00008881.hg.1	NM_001304990; NM_005840; ENST00000302805; BC069609; BC074972; BC074973; OTTHUMT00000058823	SPRY3	sprouty RTK signaling antagonist 3	chrX	+	Coding	155612565	155782459
TC0X00009242.hg.1	uc064yie.1	AC004673.1		chrX	-	Precursor_microRNA	23120832	23120905
TC0X00009292.hg.1	RDXP2.aAug10-unspliced	RDXP2	Transcript Identified by AceView, Entrez Gene ID(s) 5964	chrX	-	Unassigned	27515176	27515266
TC0X00009582.hg.1	NM_004182; NM_153477; NR_045559; NR_045560; ENST00000333119; ENST00000335890; ENST00000376964; ENST00000460840; ENST00000485641; BC000720; BC008890; OTTHUMT00000056440; OTTHUMT00000056441; OTTHUMT00000056442; OTTHUMT00000056443; OTTHUMT00000056444	UXT	ubiquitously expressed prefoldin like chaperone	chrX	-	Multiple_Complex	47651792	47659180
TC0X00010064.hg.1	NR_028379; ENST00000418855; ENST00000423992; ENST00000429124; ENST00000430772; ENST00000455395; ENST00000602420; ENST00000602576; ENST00000602776; ENST00000602812; ENST00000603672; uc004ebr.1; uc010nlq.1	FTX	FTX transcript, XIST regulator (non-protein coding)	chrX	-	NonCoding	73963955	74293574
TC0X00010068.hg.1	jyvar.aAug10-unspliced	jyvar	Transcript Identified by AceView	chrX	-	Coding	73991525	73993609
TC0X00010071.hg.1	spagor.aAug10-unspliced	spagor	Transcript Identified by AceView	chrX	-	Coding	74046369	74046825
TC0X00010072.hg.1	bygoy.aAug10-unspliced	bygoy	Transcript Identified by AceView	chrX	-	Unassigned	74063313	74064556
TC0X00010075.hg.1	gugoy.aAug10-unspliced	gugoy	Transcript Identified by AceView	chrX	-	Coding	74123014	74123321
TC0X00010076.hg.1	teti.aAug10-unspliced	teti	Transcript Identified by AceView	chrX	-	Coding	74124412	74126023
TC0X00010080.hg.1				chrX	-	NonCoding	74155845	74156122
TC0X00010082.hg.1	shargoy.aAug10-unspliced	shargoy	Transcript Identified by AceView	chrX	-	Unassigned	74191379	74192509
TC0X00010121.hg.1	roydu.aAug10-unspliced	roydu	Transcript Identified by AceView	chrX	-	Coding	76576792	76577399
TC0X00010183.hg.1	uc065adk.1	AL022574.1		chrX	-	Precursor_microRNA	82675638	82675727
TC0X00010368.hg.1	ENST00000384561	RNU6-30P	RNA, U6 small nuclear 30, pseudogene	chrX	-	Small_RNA	101634006	101634112
TC0X00010427.hg.1	choyvar.aAug10-unspliced	choyvar	Transcript Identified by AceView	chrX	-	Unassigned	103681243	103682849
TC0X00010463.hg.1	lufey.aAug10-unspliced	lufey	Transcript Identified by AceView	chrX	-	Unassigned	107083189	107084403
TC0X00010517.hg.1	uc065asj.1	RNU6-496P	RNA, U6 small nuclear 496, pseudogene [Source:HGNC Symbol;Acc:HGNC:47459]	chrX	-	Multiple_Complex	111384256	111421608
TC0X00010578.hg.1	bygar.aAug10-unspliced	bygar	Transcript Identified by AceView	chrX	-	Coding	115854449	115856073
TC0X00010585.hg.1	florgar.aAug10-unspliced	florgar	Transcript Identified by AceView	chrX	-	Coding	115881305	115882921
TC0X00010586.hg.1	spagar.aAug10-unspliced	spagar	Transcript Identified by AceView	chrX	-	Coding	115884314	115885949
TC0X00010605.hg.1				chrX	-	NonCoding	117282456	117284368
TC0X00010756.hg.1	uc065bas.1	AL359973.1		chrX	-	Precursor_microRNA	126472809	126472882
TC0X00010780.hg.1	studo.aAug10-unspliced	studo	Transcript Identified by AceView	chrX	-	Coding	129254219	129254661
TC0X00011009.hg.1	uc065bkt.1	AC239395.1		chrX	-	Precursor_microRNA	143446208	143446337
TC0X00011360.hg.1	NR_029635; ENST00000385135; uc011mle.1	MIR221	microRNA 221	chrX	-	Precursor_microRNA	45746157	45746266
TC0Y00006855.hg.1	NM_005840_2; ENSTR0000302805; BC069609_2; BC074972_2; BC074973_2; CCDS14769.4_2; uc004fxi.2	SPRY3	Homo sapiens sprouty RTK signaling antagonist 3 (SPRY3), transcript variant 1, mRNA.; sprouty homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:11271]; Homo sapiens sprouty homolog 3 (Drosophila), mRNA (cDNA clone MGC:97072 IMAGE:7262284), complete cds.; Homo sapiens sprouty homolog 3 (Drosophila), mRNA (cDNA clone MGC:103904 IMAGE:30915293), complete cds.; Homo sapiens sprouty homolog 3 (Drosophila), mRNA (cDNA clone MGC:104063 IMAGE:30915511), complete cds.	chrY	+	Coding	56954255	56968979
TC0Y00006878.hg.1	slabo.aAug10-unspliced	slabo	Transcript Identified by AceView	chrY	-	Unassigned	1355572	1356538
TC0Y00007019.hg.1				chrY	-	NonCoding	9898858	9904416
TC1000007017.hg.1				chr10	+	NonCoding	23382328	23384423
TC1000007348.hg.1	uc057svg.1	RNU6-1118P	RNA, U6 small nuclear 1118, pseudogene [Source:HGNC Symbol;Acc:HGNC:48081]	chr10	+	Small_RNA	38423625	38423728
TC1000007525.hg.1	romare.aAug10-unspliced	romare	Transcript Identified by AceView	chr10	+	Coding	46792220	46793924
TC1000007597.hg.1				chr10	+	NonCoding	49963245	49964457
TC1000007628.hg.1	uc057thd.1	AC022537.1		chr10	+	Precursor_microRNA	51265325	51265452
TC1000007632.hg.1	uc057thf.1	AL157399.1		chr10	+	Precursor_microRNA	51526341	51526433
TC1000007634.hg.1				chr10	+	NonCoding	51566643	51573457
TC1000007705.hg.1	zoygleybu.aAug10-unspliced	zoygleybu	Transcript Identified by AceView	chr10	+	Coding	58547618	58547994
TC1000007707.hg.1	tumare.aAug10-unspliced	tumare	Transcript Identified by AceView	chr10	+	Unassigned	58712507	58714888
TC1000007762.hg.1				chr10	+	NonCoding	62025675	62025811
TC1000007764.hg.1	temare.aAug10-unspliced	temare	Transcript Identified by AceView	chr10	+	Unassigned	62073459	62076952
TC1000008389.hg.1	ENST00000620386; uc057utx.1	FAS-AS1	FAS antisense RNA 1 conserved region [Source:RFAM;Acc:RF02116]	chr10	+	NonCoding	88992370	88992539
TC1000008720.hg.1	pykleebu.aAug10-unspliced	pykleebu	Transcript Identified by AceView	chr10	+	Coding	102269028	102269414
TC1000008936.hg.1	mymu.aAug10-unspliced	mymu	Transcript Identified by AceView	chr10	+	Coding	112708227	112708755
TC1000009068.hg.1	ENST00000421206.1; OTTHUMT00000050638; uc057wie.1	GRK5-IT1; RP11-567J24.4	GRK5 intronic transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:49478]; novel transcript, sense intronic to GRK5; GRK5 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:49478]	chr10	+	NonCoding	119208531	119211760
TC1000009197.hg.1				chr10	+	NonCoding	123981811	123982232
TC1000009281.hg.1	kyfoy.aAug10-unspliced	kyfoy	Transcript Identified by AceView	chr10	+	Unassigned	127131032	127133487
TC1000009284.hg.1	borma.aAug10-unspliced	borma	Transcript Identified by AceView	chr10	+	Coding	127409892	127410666
TC1000009388.hg.1				chr10	+	NonCoding	131916617	131920222
TC1000009468.hg.1	mitaro.aAug10-unspliced	mitaro	Transcript Identified by AceView	chr10	+	Unassigned	133446684	133449757
TC1000009522.hg.1				chr10	-	NonCoding	657187	658242
TC1000009857.hg.1	snareeby.aAug10-unspliced	snareeby	Transcript Identified by AceView	chr10	-	Coding	14105784	14108472
TC1000009910.hg.1	slorlor.aAug10-unspliced	slorlor	Transcript Identified by AceView	chr10	-	Unassigned	16659301	16660663
TC1000010066.hg.1	goneyby.aAug10-unspliced	goneyby	Transcript Identified by AceView	chr10	-	Unassigned	24650667	24651037
TC1000010274.hg.1	boyshar.aAug10-unspliced	boyshar	Transcript Identified by AceView	chr10	-	Unassigned	33199390	33200539
TC1000010275.hg.1	foynoyby.aAug10-unspliced	foynoyby	Transcript Identified by AceView	chr10	-	Coding	33232662	33235367
TC1000010278.hg.1	jonoyby.aAug10-unspliced	jonoyby	Transcript Identified by AceView	chr10	-	Unassigned	33290368	33292432
TC1000010279.hg.1	jornoyby.aAug10-unspliced	jornoyby	Transcript Identified by AceView	chr10	-	Coding	33316956	33317828
TC1000010535.hg.1	NR_027632; OTTHUMT00000047827; OTTHUMT00000047829; OTTHUMT00000047832	FAM35BP; RHEBP1	family with sequence similarity 35, member A pseudogene; Ras-homolog enriched in brain pseudogene 1	chr10	-	Multiple_Complex	46610472	46652025
TC1000010567.hg.1	charsho.aAug10-unspliced	charsho	Transcript Identified by AceView	chr10	-	Unassigned	48034625	48035934
TC1000010709.hg.1	skostorby.aAug10-unspliced	skostorby	Transcript Identified by AceView	chr10	-	Coding	58541717	58542150
TC1000010846.hg.1	sharsha.aAug10-unspliced	sharsha	Transcript Identified by AceView	chr10	-	Unassigned	68385297	68385886
TC1000011024.hg.1	sloma.aAug10-unspliced	sloma	Transcript Identified by AceView	chr10	-	Unassigned	73432374	73433076
TC1000011336.hg.1	reypoby.aAug10-unspliced	reypoby	Transcript Identified by AceView	chr10	-	Unassigned	87314594	87315514
TC1000012186.hg.1	storloy.aAug10-unspliced	storloy	Transcript Identified by AceView	chr10	-	Unassigned	126268378	126268996
TC1100006607.hg.1				chr11	+	NonCoding	3166788	3168829
TC1100006865.hg.1				chr11	+	NonCoding	12024332	12029419
TC1100006871.hg.1	chaflerbu.aAug10-unspliced	chaflerbu	Transcript Identified by AceView	chr11	+	Unassigned	12121979	12122967
TC1100006875.hg.1	gogloy.aAug10-unspliced	gogloy	Transcript Identified by AceView	chr11	+	Coding	12229425	12229871
TC1100006881.hg.1				chr11	+	NonCoding	12421241	12423561
TC1100006999.hg.1	vycher.aAug10-unspliced	vycher	Transcript Identified by AceView	chr11	+	Unassigned	18349239	18351227
TC1100007248.hg.1	spoymaw.aAug10-unspliced	spoymaw	Transcript Identified by AceView	chr11	+	Unassigned	34077273	34078340
TC1100007275.hg.1	sterchee.aAug10-unspliced	sterchee	Transcript Identified by AceView	chr11	+	Unassigned	35191670	35193039
TC1100007277.hg.1	ENST00000510619.2; OTTHUMT00000388934; uc058ajn.1	RP1-68D18.2	novel transcript	chr11	+	NonCoding	35212550	35214007
TC1100007534.hg.1				chr11	+	NonCoding	48949217	48956438
TC1100007690.hg.1	moyplu.aAug10-unspliced	moyplu	Transcript Identified by AceView	chr11	+	Coding	57746351	57746805
TC1100007692.hg.1	glyny.aAug10-unspliced	glyny	Transcript Identified by AceView	chr11	+	Unassigned	57764523	57765256
TC1100007695.hg.1	kise.aAug10-unspliced	kise	Transcript Identified by AceView	chr11	+	Unassigned	57772097	57773294
TC1100007696.hg.1	pyplu.aAug10-unspliced	pyplu	Transcript Identified by AceView	chr11	+	Unassigned	57786858	57788059
TC1100008018.hg.1	NR_028272; NR_030343; NR_131012; ENST00000384994; ENST00000499732; ENST00000501122; ENST00000601801; ENST00000612303; ENST00000616315	NEAT1; MIR612	nuclear paraspeckle assembly transcript 1 (non-protein coding); microRNA 612	chr11	+	Multiple_Complex	65416655	65450093
TC1100008463.hg.1	NR_000025; ENST00000384714; uc001owl.1	SNORD15B	small nucleolar RNA, C/D box 15B	chr11	+	Small_RNA	75404421	75404566
TC1100008624.hg.1	NR_038903; ENST00000501011; ENST00000526795; ENST00000527627; ENST00000528156; ENST00000530270; ENST00000533528; ENST00000533708; ENST00000534499	RAB30-AS1	RAB30 antisense RNA 1 (head to head)	chr11	+	NonCoding	83072066	83106719
TC1100008699.hg.1				chr11	+	NonCoding	88337937	88428226
TC1100008848.hg.1	keymaw.aAug10-unspliced	keymaw	Transcript Identified by AceView	chr11	+	Coding	95800291	95801312
TC1100009741.hg.1	lergler.aAug10-unspliced	lergler	Transcript Identified by AceView	chr11	-	Coding	1498536	1499502
TC1100009821.hg.1	NR_002982; ENST00000384281; uc001lxd.1	SNORA54	small nucleolar RNA, H/ACA box 54	chr11	-	Small_RNA	2963771	2963893
TC1100010689.hg.1	lucher.aAug10-unspliced	lucher	Transcript Identified by AceView	chr11	-	Unassigned	45940213	45941607
TC1100010982.hg.1	blumor.aAug10-unspliced	blumor	Transcript Identified by AceView	chr11	-	Unassigned	59660113	59660729
TC1100011312.hg.1	uc058ecd.1	AP003176.1		chr11	-	Precursor_microRNA	66882812	66882870
TC1100011798.hg.1	ENST00000530976	RP11-113K21.1		chr11	-	Multiple_Complex	83040806	83041403
TC1100011806.hg.1	rysku.aAug10-unspliced	rysku	Transcript Identified by AceView	chr11	-	Coding	83160223	83166175
TC1100011834.hg.1	riyare.aAug10-unspliced	riyare	Transcript Identified by AceView	chr11	-	Unassigned	85702199	85704327
TC1100012042.hg.1	leemaw.aAug10-unspliced	leemaw	Transcript Identified by AceView	chr11	-	Unassigned	96221689	96223133
TC1100012043.hg.1	lermaw.aAug10-unspliced	lermaw	Transcript Identified by AceView	chr11	-	Unassigned	96224460	96225521
TC1100012047.hg.1	snykawby.aAug10-unspliced	snykawby	Transcript Identified by AceView	chr11	-	Unassigned	96273501	96275047
TC1100012049.hg.1	sekira.aAug10-unspliced	sekira	Transcript Identified by AceView	chr11	-	Unassigned	96277916	96281531
TC1100012050.hg.1	chuchee.aAug10-unspliced	chuchee	Transcript Identified by AceView	chr11	-	Unassigned	96286640	96287149
TC1100012051.hg.1	werforby.aAug10-unspliced	werforby	Transcript Identified by AceView	chr11	-	Unassigned	96309704	96311963
TC1100012185.hg.1	steeklee.aAug10-unspliced	steeklee	Transcript Identified by AceView	chr11	-	Coding	105979185	105980621
TC1100012297.hg.1	tuleeby.aAug10-unspliced	tuleeby	Transcript Identified by AceView	chr11	-	Unassigned	111633464	111633702
TC1100012307.hg.1	OTTHUMT00000351095	RPL37AP8	ribosomal protein L37a pseudogene 8	chr11	-	Multiple_Complex	111889199	111889474
TC1100012392.hg.1	plyspoby.aAug10-unspliced	plyspoby	Transcript Identified by AceView	chr11	-	Unassigned	115391125	115391586
TC1100012425.hg.1	teyjeeby.aAug10-unspliced	teyjeeby	Transcript Identified by AceView	chr11	-	Unassigned	116881551	116883277
TC1100012824.hg.1	uc058jdb.1	U4	U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]	chr11	-	Small_RNA	130114251	130114335
TC1200006487.hg.1	swunar.aAug10-unspliced	swunar	Transcript Identified by AceView	chr12	+	Coding	2158427	2163204
TC1200006489.hg.1				chr12	+	NonCoding	2191191	2191835
TC1200006490.hg.1				chr12	+	NonCoding	2213219	2214496
TC1200006492.hg.1	snerblarbu.aAug10-unspliced	snerblarbu	Transcript Identified by AceView	chr12	+	Coding	2296100	2296803
TC1200006498.hg.1	porcho.aAug10-unspliced	porcho	Transcript Identified by AceView	chr12	+	Coding	2635724	2636379
TC1200006586.hg.1				chr12	+	NonCoding	5469252	5471088
TC1200006712.hg.1	ENST00000535746.1; ENST00000539795.1; OTTHUMT00000400536; OTTHUMT00000400537; uc058kwf.1; uc058kwg.1	RP11-90D4.3	novel transcript	chr12	+	NonCoding	8321876	8329614
TC1200007155.hg.1	snawchar.aAug10-unspliced	snawchar	Transcript Identified by AceView	chr12	+	Unassigned	27685792	27686883
TC1200007467.hg.1	spawflu.aAug10-unspliced	spawflu	Transcript Identified by AceView	chr12	+	Coding	47251597	47252028
TC1200008029.hg.1	ENST00000545709.1; OTTHUMT00000401432; uc058qlk.1	RP11-305O6.3	novel transcript	chr12	+	NonCoding	65281657	65286728
TC1200008042.hg.1	uc058qmh.1	AC090673.1		chr12	+	Precursor_microRNA	65858013	65858132
TC1200008044.hg.1	kunemi.aAug10-unspliced	kunemi	Transcript Identified by AceView	chr12	+	Unassigned	65869151	65870177
TC1200008109.hg.1				chr12	+	NonCoding	68625270	68625651
TC1200008261.hg.1				chr12	+	NonCoding	77010709	77024966
TC1200008445.hg.1	uc058rsb.1	RNU6-1329P	RNA, U6 small nuclear 1329, pseudogene [Source:HGNC Symbol;Acc:HGNC:48292]	chr12	+	Small_RNA	92952639	92952745
TC1200008467.hg.1	faney.aAug10-unspliced	faney	Transcript Identified by AceView	chr12	+	Unassigned	93389724	93391140
TC1200008509.hg.1	yotami.aAug10-unspliced	yotami	Transcript Identified by AceView	chr12	+	Unassigned	95260390	95261707
TC1200008597.hg.1	NM_001303130; NM_001303131; NM_174942; ENST00000266754; ENST00000537247; ENST00000539410; ENST00000547739; ENST00000547754; ENST00000548067; ENST00000548113; ENST00000550295; ENST00000552854; BC043366; OTTHUMT00000409143; OTTHUMT00000409144; OTTHUMT00000409145; OTTHUMT00000409146; OTTHUMT00000409147; OTTHUMT00000409148; OTTHUMT00000409149; OTTHUMT00000409161	GAS2L3	growth arrest-specific 2 like 3	chr12	+	Multiple_Complex	100573661	100628288
TC1200009218.hg.1	woytybo.aAug10	woytybo	Transcript Identified by AceView	chr12	+	Unassigned	122755845	122757577
TC1200009553.hg.1	saswer.aAug10-unspliced	saswer	Transcript Identified by AceView	chr12	-	Coding	421314	421830
TC1200010164.hg.1	uc058mba.1	RNU4-67P	RNA, U4 small nuclear 67, pseudogene [Source:HGNC Symbol;Acc:HGNC:47003]	chr12	-	Small_RNA	25404288	25404428
TC1200010401.hg.1	uc058mrl.1	AC067735.1		chr12	-	Precursor_microRNA	38913240	38913326
TC1200011313.hg.1	hsa_circ_0000422	NAP1L1	Memczak2013 ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic best transcript NM_139207	chr12	-	NonCoding	76083127	76083229
TC1200011440.hg.1				chr12	-	NonCoding	86552875	86552952
TC1200011522.hg.1	fleyglyby.aAug10-unspliced	fleyglyby	Transcript Identified by AceView	chr12	-	Coding	92883686	92884489
TC1200011537.hg.1	ENST00000363141; uc058rsy.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr12	-	NonCoding	93460725	93460826
TC1200011694.hg.1				chr12	-	NonCoding	101358748	101358849
TC1200011853.hg.1	doytubo.aAug10-unspliced	doytubo	Transcript Identified by AceView	chr12	-	Coding	108847675	108848425
TC1200011947.hg.1	blafu.aAug10-unspliced	blafu	Transcript Identified by AceView	chr12	-	Unassigned	111666483	111667112
TC1200012186.hg.1	steybleebu.bAug10-unspliced	steybleebu	Transcript Identified by AceView	chr12	-	Coding	120873860	120874677
TC1200012295.hg.1	ENST00000602474.1; OTTHUMT00000467837; uc058uvv.1	RP11-214K3.22	novel transcript, sense intronic to CCDC92	chr12	-	NonCoding	123962555	123962817
TC1200012296.hg.1	ENST00000602988.1; OTTHUMT00000467838; uc058uvw.1	RP11-214K3.21	novel transcript, sense intronic to CCDC92	chr12	-	NonCoding	123966077	123966629
TC1200012298.hg.1	ENST00000602741.1; OTTHUMT00000467840; uc058uvy.1	RP11-214K3.19	novel transcript, sense intronic to CCDC92	chr12	-	NonCoding	123969990	123970344
TC1300006864.hg.1	ENST00000439854	SCAND3P1	SCAN domain containing 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:42037]	chr13	+	Multiple_Complex	35185294	35186679
TC1300007340.hg.1	ENST00000448913	TARDBPP2	TAR DNA binding protein pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39848]	chr13	+	Multiple_Complex	60274776	60277236
TC1300007407.hg.1	glarfa.aAug10; glarfa.bAug10-unspliced	glarfa	Transcript Identified by AceView	chr13	+	NonCoding	66666240	66669928
TC1300007836.hg.1	jydeeby.aAug10-unspliced	jydeeby	Transcript Identified by AceView	chr13	+	Unassigned	99369371	99371903
TC1300008115.hg.1	boyblabu.aAug10-unspliced	boyblabu	Transcript Identified by AceView	chr13	+	Unassigned	113228050	113228965
TC1300008116.hg.1	uc058ymp.1	AL136221.3		chr13	+	Precursor_microRNA	113262834	113262913
TC1300008142.hg.1				chr13	+	NonCoding	113562795	113563816
TC1300008257.hg.1	uc031zya.2	AL590096.1		chr13	-	Precursor_microRNA	20575758	20575835
TC1300008559.hg.1	wawcha.aAug10-unspliced	wawcha	Transcript Identified by AceView	chr13	-	Unassigned	32527794	32531226
TC1300008576.hg.1	bleefaby.aAug10-unspliced	bleefaby	Transcript Identified by AceView	chr13	-	Coding	33209470	33210121
TC1300008601.hg.1	shorcha.aAug10-unspliced	shorcha	Transcript Identified by AceView	chr13	-	Unassigned	35310072	35310511
TC1300008795.hg.1	dorfoby.aAug10-unspliced	dorfoby	Transcript Identified by AceView	chr13	-	Coding	44508917	44509303
TC1300008832.hg.1	ENST00000618452; uc058wvv.1; uc058wvw.1	Metazoa_SRP; AL139320.1	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	chr13	-	Multiple_Complex	45732082	45732356
TC1300008941.hg.1	chofarby.aAug10-unspliced	chofarby	Transcript Identified by AceView	chr13	-	Unassigned	50062634	50064137
TC1300009244.hg.1				chr13	-	NonCoding	73376414	73381501
TC1300009261.hg.1	ENST00000383890; uc058xlr.1	RNY1P5	RNA, Ro-associated Y1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42482]	chr13	-	NonCoding	74289100	74289214
TC1300009771.hg.1	teenoy.aAug10-unspliced	teenoy	Transcript Identified by AceView	chr13	-	Unassigned	109779661	109781743
TC1400006558.hg.1				chr14	+	NonCoding	21210557	21210707
